date,state,name,code,cases,deaths
2020-12-01,TO,Bom Jesus Do Tocantins,170330,0,0
2020-06-19,SP,Teodoro Sampaio,355430,-1,0
2020-05-28,TO,Ponte Alta Do Bom Jesus,171780,0,0
2020-05-01,TO,Araguacu,170200,0,0
2020-04-18,TO,Tabocao,170825,0,0
2020-05-29,TO,Crixas Do Tocantins,170625,0,0
2020-05-28,TO,Sao Sebastiao Do Tocantins,172030,1,0
2020-06-10,TO,Ponte Alta Do Tocantins,171790,0,0
2020-05-27,TO,Lajeado,171200,0,0
2020-04-23,SP,Tremembe,355480,0,0
2020-08-08,TO,Almas,170040,0,2
2020-11-06,SP,Santo Antonio De Posse,354800,0,10
2020-04-06,TO,Cariri Do Tocantins,170386,0,0
2020-08-23,TO,Juarina,171180,0,0
2020-05-07,TO,Colmeia,171670,0,0
2020-08-14,SP,Piquerobi,353830,0,0
2020-08-26,SP,Santo Anastacio,354770,3,8
2020-08-30,SP,Pedrinhas Paulista,353715,0,1
2020-05-11,SP,Santa Fe Do Sul,354660,0,0
2020-05-02,SP,Sao Jose Do Rio Pardo,354970,0,0
2020-09-20,TO,Piraque,171720,0,1
2020-05-05,TO,Talisma,172097,0,0
2020-08-28,SP,Suzano,355250,56,195
2020-05-08,SP,Valparaiso,355630,0,0
2020-05-02,TO,Porto Alegre Do Tocantins,171800,0,0
2020-08-14,TO,Santa Rosa Do Tocantins,171890,-1,0
2020-11-21,TO,Cristalandia,170610,0,2
2020-08-27,SP,Teodoro Sampaio,355430,2,3
2020-04-25,SP,Santo Antonio Da Alegria,354790,0,1
2020-09-22,TO,Novo Jardim,171525,0,0
2020-09-21,TO,Talisma,172097,0,1
2020-10-15,SP,Salto,354520,9,64
2020-11-23,TO,Ponte Alta Do Bom Jesus,171780,0,2
2020-07-17,TO,Tabocao,170825,1,0
2020-05-17,TO,Rio Dos Bois,171870,0,0
2020-05-28,SP,Taiacu,355310,0,0
2020-11-13,TO,Arraias,170240,0,0
2020-09-25,TO,Santa Rosa Do Tocantins,171890,1,1
2020-11-10,SP,Vista Alegre Do Alto,355690,0,3
2020-10-14,TO,Lavandeira,171215,0,0
2020-05-18,TO,Sao Felix Do Tocantins,172015,0,0
2020-04-07,SP,Teodoro Sampaio,355430,0,0
2020-10-26,SP,Zacarias,355715,0,1
2020-05-03,TO,Mateiros,171270,0,0
2020-12-04,TO,Sitio Novo Do Tocantins,172080,0,5
2020-03-29,SP,Trabiju,355475,0,0
2020-10-17,TO,Carmolandia,170388,0,1
2020-05-04,TO,Sucupira,172085,0,0
2020-11-17,TO,Wanderlandia,172208,0,5
2020-12-08,TO,Rio Da Conceicao,171865,0,0
2020-04-19,TO,Santa Maria Do Tocantins,171888,0,0
2020-10-13,TO,Alvorada,170070,0,9
2020-06-20,SP,Uniao Paulista,355570,0,0
2020-08-23,SP,Severinia,355190,1,3
2020-08-21,TO,Colmeia,171670,0,4
2020-10-12,SP,Bofete,350690,0,4
2020-11-04,SP,Terra Roxa,355440,2,5
2020-10-08,TO,Sampaio,171880,3,3
2020-11-06,TO,Oliveira De Fatima,171550,0,1
2020-08-06,SP,Vista Alegre Do Alto,355690,3,2
2020-08-16,TO,Praia Norte,171830,0,2
2020-11-02,TO,Sampaio,171880,0,3
2020-08-01,TO,Formoso Do Araguaia,170820,11,7
2020-09-20,SP,Tuiuti,355495,0,0
2020-09-06,TO,Sao Sebastiao Do Tocantins,172030,0,0
2020-06-23,TO,Cristalandia,170610,0,0
2020-09-12,SP,Torre De Pedra,355465,0,2
2020-09-07,TO,Pugmil,171845,0,0
2020-11-01,TO,Bandeirantes Do Tocantins,170305,0,1
2020-03-28,SP,Vitoria Brasil,355695,0,0
2020-04-14,SP,Santa Isabel,354680,0,1
2020-10-12,SP,Sao Caetano Do Sul,354880,4,214
2020-12-01,TO,Alianca Do Tocantins,170035,0,3
